user,guest,checkin,checkout,payment,room_type,count,min_floor
brittney.willis@yahoo.com,joseph.zamora@gmail.com,2022-04-02,2022-04-06,2022-02-11 05:46:30,suite,2,15
robert.moore@gmail.com,megan.roberts@yahoo.com,2021-08-29,2021-09-03,2021-08-07 13:04:32,standard,2,16
amy.meyer@gmail.com,amy.meyer@gmail.com,2021-06-14,2021-06-16,2021-03-16 17:59:25,standard,2,13
nicole.brown@hotmail.com,nicole.brown@hotmail.com,2022-04-01,2022-04-14,2022-01-26 22:28:20,standard,2,29
kimberly.miller@gmail.com,kristin.robinson@yahoo.com,2021-06-16,2021-06-24,2021-05-21 09:24:10,superior,1,11
elaine.rosales@hotmail.com,elaine.rosales@hotmail.com,2022-11-19,2022-12-06,2022-10-05 07:50:52,deluxe,1,7
elaine.rosales@hotmail.com,elaine.rosales@hotmail.com,2022-11-19,2022-12-06,2022-10-05 07:50:52,deluxe,1,19
elaine.rosales@hotmail.com,elaine.rosales@hotmail.com,2022-11-19,2022-12-06,2022-10-05 07:50:52,deluxe,2,23
joseph.zamora@gmail.com,jacqueline.mcconnell@hotmail.com,2021-03-18,2021-03-25,2021-01-17 19:04:49,standard,2,12
cheryl.tran@gmail.com,cheryl.tran@gmail.com,2023-05-01,2023-05-05,2023-04-28 20:52:42,standard,1,26
cheryl.tran@gmail.com,cheryl.tran@gmail.com,2023-05-01,2023-05-05,2023-04-28 20:52:42,deluxe,2,1
chase.miller@hotmail.com,chase.miller@hotmail.com,2022-10-25,2022-11-01,2022-10-14 13:14:05,deluxe,1,1
donald.smith@gmail.com,donald.smith@gmail.com,2021-05-20,2021-05-28,2021-03-26 09:51:42,standard,1,14
donald.smith@gmail.com,donald.smith@gmail.com,2021-05-20,2021-05-28,2021-03-26 09:51:42,superior,2,7
abigail.may@gmail.com,robert.moore@gmail.com,2023-02-08,2023-02-18,2022-12-28 19:03:43,standard,2,8
abigail.may@gmail.com,robert.moore@gmail.com,2023-02-08,2023-02-18,2022-12-28 19:03:43,standard,2,22
anthony.sherman@yahoo.com,anthony.sherman@yahoo.com,2023-04-08,2023-04-09,2023-01-16 03:57:33,standard,1,5
anthony.sherman@yahoo.com,anthony.sherman@yahoo.com,2023-04-08,2023-04-09,2023-01-16 03:57:33,superior,2,3
anthony.sherman@yahoo.com,anthony.sherman@yahoo.com,2023-04-08,2023-04-09,2023-01-16 03:57:33,standard,1,13
william.young@yahoo.com,fred.hays@hotmail.com,2023-04-06,2023-04-12,2023-03-29 17:37:02,standard,1,6
gerald.gonzalez@hotmail.com,gerald.gonzalez@hotmail.com,2022-06-05,2022-06-07,2022-05-11 08:01:16,standard,2,23
gerald.gonzalez@hotmail.com,gerald.gonzalez@hotmail.com,2022-06-05,2022-06-07,2022-05-11 08:01:16,suite,1,25
paula.saunders@hotmail.com,paula.saunders@hotmail.com,2021-12-08,2021-12-13,2021-10-30 09:14:01,standard,1,12
paula.saunders@hotmail.com,paula.saunders@hotmail.com,2021-12-08,2021-12-13,2021-10-30 09:14:01,suite,2,27
paula.saunders@hotmail.com,paula.saunders@hotmail.com,2021-12-08,2021-12-13,2021-10-30 09:14:01,standard,1,24
anthony.carpenter@hotmail.com,megan.roberts@yahoo.com,2021-07-06,2021-07-16,2021-05-11 03:05:00,standard,2,13
andrew.perez@gmail.com,andrew.perez@gmail.com,2021-01-08,2021-01-18,2021-01-03 14:57:05,standard,2,22
andrew.perez@gmail.com,andrew.perez@gmail.com,2021-01-08,2021-01-18,2021-01-03 14:57:05,standard,1,11
andrew.perez@gmail.com,andrew.perez@gmail.com,2021-01-08,2021-01-18,2021-01-03 14:57:05,standard,2,29
robert.coleman@gmail.com,robert.coleman@gmail.com,2021-03-17,2021-03-18,2021-03-01 11:59:56,superior,2,2
heather.mejia@yahoo.com,heather.mejia@yahoo.com,2021-02-18,2021-02-25,2020-11-29 00:43:33,standard,2,2
heather.mejia@yahoo.com,heather.mejia@yahoo.com,2021-02-18,2021-02-25,2020-11-29 00:43:33,superior,2,2
randy.daniels@yahoo.com,amy.meyer@gmail.com,2021-07-31,2021-08-01,2021-06-22 07:34:48,standard,2,20
randy.daniels@yahoo.com,amy.meyer@gmail.com,2021-07-31,2021-08-01,2021-06-22 07:34:48,deluxe,1,23
randy.daniels@yahoo.com,amy.meyer@gmail.com,2021-07-31,2021-08-01,2021-06-22 07:34:48,standard,1,4
jacqueline.mcconnell@hotmail.com,jacqueline.mcconnell@hotmail.com,2022-11-11,2022-11-26,2022-10-12 11:16:42,deluxe,2,5
jacob.richardson@gmail.com,steven.johnson@yahoo.com,2022-09-22,2022-09-25,2022-08-25 08:40:07,suite,2,29
jacob.richardson@gmail.com,steven.johnson@yahoo.com,2022-09-22,2022-09-25,2022-08-25 08:40:07,standard,2,26
jacob.richardson@gmail.com,steven.johnson@yahoo.com,2022-09-22,2022-09-25,2022-08-25 08:40:07,superior,1,15
fred.hays@hotmail.com,fred.hays@hotmail.com,2021-01-03,2021-01-21,2021-01-01 08:20:06,superior,1,20
fred.hays@hotmail.com,fred.hays@hotmail.com,2021-01-03,2021-01-21,2021-01-01 08:20:06,standard,1,21
erin.perez@yahoo.com,erin.perez@yahoo.com,2021-04-14,2021-04-17,2021-04-09 06:57:31,standard,1,1
